Flow,Delay,AvDelay,Demand,Delayed Flights,n
36,832,846.472222222222,38,2,704
36,829,851.388888888889,38,2,705
36,927,856.25,37,1,706
37,873,863.216216216216,38,1,707
37,811,867.216216216216,40,3,708
37,831,872.648648648649,40,3,709
37,794,878.027027027027,40,3,710
38,679,888.684210526316,41,3,711
38,708,897.789473684211,41,3,712
38,680,906.526315789474,43,5,713
38,741,915.131578947369,42,4,714
38,750,922.236842105263,42,4,715
39,753,932.666666666667,42,3,716
40,742,942.575,43,3,717
40,761,950.175,42,2,718
40,767,956.65,42,2,719
40,779,961.8,42,2,720
40,776,967.8,42,2,721
41,784,973.536585365854,42,1,722
40,798,978.275,42,2,723
41,829,981.536585365854,42,1,724
41,878,984.390243902439,41,0,725
41,895,985.878048780488,41,0,726
41,923,987.341463414634,41,0,727
41,922,988.609756097561,42,1,728
41,906,990.804878048781,43,2,729
41,927,993.487804878049,42,1,730
41,931,995.878048780488,43,2,731
42,939,999.142857142857,43,1,732
41,951,1000.60975609756,43,2,733
41,928,1004.14634146341,43,2,734
41,953,1007.65853658537,43,2,735
41,959,1010.82926829268,43,2,736
41,972,1014.36585365854,43,2,737
41,976,1017.75609756098,43,2,738
41,969,1020.46341463415,42,1,739
41,1009,1024.48780487805,42,1,740
41,1004,1027.48780487805,41,0,741
41,1013,1026.46341463415,40,-1,742
41,1028,1025.63414634146,40,-1,743
41,1021,1024.24390243902,40,-1,744
41,1012,1023.07317073171,41,0,745
41,1030,1022.58536585366,41,0,746
40,1053,1022.4,40,0,747
40,1024,1020.9,40,0,748
40,1025,1020.575,40,0,749
40,1040,1019.325,40,0,750
40,1007,1017.925,40,0,751
40,1011,1017.95,40,0,752
40,1036,1017.325,40,0,753
40,1043,1016.225,39,-1,754
39,1063,1015.53846153846,39,0,755
39,1019,1014.10256410256,39,0,756
39,1046,1013.71794871795,38,-1,757
39,1020,1012.53846153846,38,-1,758
39,973,1012.79487179487,39,0,759
39,1019,1013.76923076923,39,0,760
38,991,1013.63157894737,39,1,761
38,988,1015.71052631579,40,2,762
39,977,1020.05128205128,40,1,763
39,933,1023.07692307692,40,1,764
38,946,1025.44736842105,39,1,765
38,939,1029.13157894737,40,2,766
38,955,1033.26315789474,40,2,767
38,975,1037.05263157895,40,2,768
39,1012,1041.25641025641,40,1,769
39,1016,1043.38461538462,40,1,770
38,1025,1044.10526315789,39,1,771
38,1017,1046.02631578947,39,1,772
38,1047,1048.57894736842,39,1,773
38,1096,1050.86842105263,39,1,774
38,1072,1052.13157894737,38,0,775
38,1083,1053.63157894737,39,1,776
38,1104,1055.44736842105,38,0,777
38,1111,1055.92105263158,38,0,778
38,1087,1056.57894736842,38,0,779
38,1134,1058.76315789474,38,0,780
38,1132,1059.89473684211,38,0,781
38,962,1060.21052631579,40,2,782
38,979,1065.76315789474,39,1,783
37,971,1068.10810810811,39,2,784
37,973,1073.43243243243,39,2,785
37,992,1078.75675675676,39,2,786
37,993,1083.40540540541,40,3,787
37,1011,1088.45945945946,39,2,788
37,975,1093.05405405405,40,3,789
37,984,1099.16216216216,40,3,790
37,1008,1105.21621621622,40,3,791
37,986,1110.21621621622,40,3,792
37,992,1116.94594594595,40,3,793
37,1007,1124.08108108108,40,3,794
37,1004,1131.40540540541,41,4,795
37,1000,1138.75675675676,41,4,796
37,1030,1145.51351351351,40,3,797
38,1011,1155.02631578947,41,3,798
38,1070,1162.71052631579,40,2,799
38,1074,1168.65789473684,40,2,800
38,1099,1174.81578947368,40,2,801
37,1095,1176.86486486486,40,3,802
38,1086,1185.73684210526,40,2,803
38,1096,1191.76315789474,41,3,804
38,1099,1197.89473684211,40,2,805
38,1083,1203.78947368421,40,2,806
38,1093,1210.34210526316,40,2,807
37,1095,1213.51351351351,40,3,808
37,1098,1219.7027027027,40,3,809
38,1114,1228.31578947368,40,2,810
38,1134,1233.86842105263,40,2,811
38,1144,1239.21052631579,40,2,812
38,1129,1244.18421052632,41,3,813
38,1152,1249.92105263158,40,2,814
38,1122,1255.10526315789,40,2,815
38,1136,1261.31578947368,40,2,816
38,1170,1267.07894736842,39,1,817
38,1177,1272.07894736842,40,2,818
38,1144,1276.76315789474,40,2,819
38,1173,1282.73684210526,39,1,820
38,1168,1288.15789473684,40,2,821
38,1170,1293.44736842105,40,2,822
37,1164,1296.78378378378,40,3,823
38,1180,1304.81578947368,40,2,824
38,1181,1311.18421052632,39,1,825
